,LocalObservationDateTime,EpochTime,WeatherText,WeatherIcon,HasPrecipitation,PrecipitationType,IsDayTime,Temperature,city
10,2022-08-03T23:55:00+08:00,1659542100, ClouDY ,7,False,,False,"{'Metric': {'Value': 11.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 52.0, 'Unit': 'F', 'UnitType': 18}}", PERTH 
11,2022-08-03T23:00:00+08:00,1659538800, rAIn SHOwEr ,18,True,Rain,False,"{'Metric': {'Value': 11.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 52.0, 'Unit': 'F', 'UnitType': 18}}", PERTh 
12,2022-08-03T21:55:00+08:00,1659534900, CLOudY ,7,False,,False,"{'Metric': {'Value': 12.2, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 54.0, 'Unit': 'F', 'UnitType': 18}}", peRTh 
13,2022-08-03T21:00:00+08:00,1659531600, RaIn ShOWEr ,18,True,Rain,False,"{'Metric': {'Value': 12.2, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 54.0, 'Unit': 'F', 'UnitType': 18}}", pERTh 
14,2022-08-03T19:55:00+08:00,1659527700, CLouDy ,7,False,,False,"{'Metric': {'Value': 11.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 52.0, 'Unit': 'F', 'UnitType': 18}}", PErth 
15,2022-08-03T19:00:00+08:00,1659524400, HEaVY RaIn sHOwer ,18,True,Rain,False,"{'Metric': {'Value': 11.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 52.0, 'Unit': 'F', 'UnitType': 18}}", pERth 
16,2022-08-03T17:55:00+08:00,1659520500, LiGht rAiN SHOWEr ,39,True,Rain,False,"{'Metric': {'Value': 12.8, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 55.0, 'Unit': 'F', 'UnitType': 18}}", PeRth 
17,2022-08-03T17:00:00+08:00,1659517200, LigHT rain SHOWer ,13,True,Rain,True,"{'Metric': {'Value': 15.0, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 59.0, 'Unit': 'F', 'UnitType': 18}}", pERTh 
18,2022-08-03T15:55:00+08:00,1659513300, partLy suNNy ,3,False,,True,"{'Metric': {'Value': 16.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 61.0, 'Unit': 'F', 'UnitType': 18}}", PertH 
19,2022-08-03T15:00:00+08:00,1659510000, ClOuDy ,7,False,,True,"{'Metric': {'Value': 15.0, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 59.0, 'Unit': 'F', 'UnitType': 18}}", peRtH 
20,2022-08-03T13:55:00+08:00,1659506100, MOstly cLoUdY ,6,False,,True,"{'Metric': {'Value': 13.9, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 57.0, 'Unit': 'F', 'UnitType': 18}}", PERtH 
21,2022-08-03T12:55:00+08:00,1659502500, ParTLY sUNNy ,3,False,,True,"{'Metric': {'Value': 16.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 61.0, 'Unit': 'F', 'UnitType': 18}}", perTH 
22,2022-08-03T12:00:00+08:00,1659499200, liGHt RAIn sHOweR ,12,True,Rain,True,"{'Metric': {'Value': 12.8, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 55.0, 'Unit': 'F', 'UnitType': 18}}", PerTH 
23,2022-08-03T10:55:00+08:00,1659495300, tHuNdershOwEr ,15,True,Rain,True,"{'Metric': {'Value': 15.0, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 59.0, 'Unit': 'F', 'UnitType': 18}}", PeRTH 
0,2022-08-04T11:25:00+09:30,1659578100, MOStlY CloUdy ,6,False,,True,"{'Metric': {'Value': 26.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 79.0, 'Unit': 'F', 'UnitType': 18}}", darwIN 
1,2022-08-04T10:25:00+09:30,1659574500, paRtLY SUNNY ,3,False,,True,"{'Metric': {'Value': 26.4, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 80.0, 'Unit': 'F', 'UnitType': 18}}", dArWin 
2,2022-08-04T09:25:00+09:30,1659570900, SunNy ,1,False,,True,"{'Metric': {'Value': 25.2, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 77.0, 'Unit': 'F', 'UnitType': 18}}", dARwiN 
3,2022-08-04T08:25:00+09:30,1659567300, SUNnY ,1,False,,True,"{'Metric': {'Value': 24.8, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 77.0, 'Unit': 'F', 'UnitType': 18}}", daRwIn 
4,2022-08-04T07:25:00+09:30,1659563700, suNny ,1,False,,True,"{'Metric': {'Value': 24.2, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 76.0, 'Unit': 'F', 'UnitType': 18}}", DARwin 
5,2022-08-04T06:25:00+09:30,1659560100, cLEAR ,33,False,,False,"{'Metric': {'Value': 24.0, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 75.0, 'Unit': 'F', 'UnitType': 18}}", DARWin 
6,2022-08-04T05:25:00+09:30,1659556500, Cloudy ,7,False,,False,"{'Metric': {'Value': 24.0, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 75.0, 'Unit': 'F', 'UnitType': 18}}", DARWin 
7,2022-08-04T04:25:00+09:30,1659552900, pARtlY CLouDy ,35,False,,False,"{'Metric': {'Value': 24.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 75.0, 'Unit': 'F', 'UnitType': 18}}", dArwIN 
8,2022-08-04T03:25:00+09:30,1659549300, CloUDy ,7,False,,False,"{'Metric': {'Value': 24.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 75.0, 'Unit': 'F', 'UnitType': 18}}", DaRwIn 
9,2022-08-04T02:25:00+09:30,1659545700, cLoUDY ,7,False,,False,"{'Metric': {'Value': 24.3, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 76.0, 'Unit': 'F', 'UnitType': 18}}", dARwin 
10,2022-08-04T01:25:00+09:30,1659542100, soME CLOudS ,36,False,,False,"{'Metric': {'Value': 24.5, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 76.0, 'Unit': 'F', 'UnitType': 18}}", dArwIn 
11,2022-08-04T00:25:00+09:30,1659538500, paRTLy cLoudY ,35,False,,False,"{'Metric': {'Value': 24.9, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 77.0, 'Unit': 'F', 'UnitType': 18}}", DArWin 
12,2022-08-03T23:25:00+09:30,1659534900, PaRTly cLOUdy ,35,False,,False,"{'Metric': {'Value': 25.3, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 78.0, 'Unit': 'F', 'UnitType': 18}}", dARWIn 
13,2022-08-03T22:25:00+09:30,1659531300, CLeAr ,33,False,,False,"{'Metric': {'Value': 25.4, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 78.0, 'Unit': 'F', 'UnitType': 18}}", daRwIn 
14,2022-08-03T21:25:00+09:30,1659527700, CleAR ,33,False,,False,"{'Metric': {'Value': 25.8, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 78.0, 'Unit': 'F', 'UnitType': 18}}", DARwin 
15,2022-08-03T20:25:00+09:30,1659524100, cLeAr ,33,False,,False,"{'Metric': {'Value': 28.0, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 82.0, 'Unit': 'F', 'UnitType': 18}}", dARWin 
16,2022-08-03T19:25:00+09:30,1659520500, pARTLY cloUDY ,35,False,,False,"{'Metric': {'Value': 28.0, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 82.0, 'Unit': 'F', 'UnitType': 18}}", Darwin 
17,2022-08-03T18:25:00+09:30,1659516900, PaRTLy sunNY ,3,False,,True,"{'Metric': {'Value': 27.1, 'Unit': 'C', 'UnitType': 17}, 'Imperial': {'Value': 81.0, 'Unit': 'F', 'UnitType': 18}}", dArwIN 
